Datum,count
Sat 01:07 UTC,2
Sat 01:10 UTC,1
Sat 01:14 UTC,1
Sat 01:15 UTC,1
Sat 01:16 UTC,1
Sat 01:17 UTC,1
Sat 01:18 UTC,2
Sat 01:21 UTC,1
Sat 01:23 UTC,2
Sat 01:25 UTC,1
Sat 01:26 UTC,1
Sat 01:27 UTC,2
Sat 01:31 UTC,1
Sat 01:35 UTC,1
Sat 01:38 UTC,1
Sat 01:40 UTC,1
Sat 01:44 UTC,1
Sat 01:45 UTC,1
Sat 01:50 UTC,1
Sat 01:51 UTC,1
Sat 01:53 UTC,2
Sat 02:02 UTC,1
Sat 02:03 UTC,1
Sat 02:05 UTC,1
Sat 02:06 UTC,1
Sat 02:12 UTC,1
Sat 02:19 UTC,2
Sat 02:20 UTC,3
Sat 02:28 UTC,1
Sat 02:34 UTC,1
Sat 02:36 UTC,1
Sat 02:40 UTC,1
Sat 02:49 UTC,1
Sat 02:55 UTC,1
Sat 02:56 UTC,1
Sat 03:00 UTC,1
Sat 03:01 UTC,1
Sat 03:05 UTC,1
Sat 03:10 UTC,1
Sat 03:13 UTC,1
Sat 03:19 UTC,1
Sat 03:20 UTC,1
Sat 03:22 UTC,1
Sat 03:23 UTC,1
Sat 03:25 UTC,1
Sat 03:26 UTC,1
Sat 03:27 UTC,1
Sat 03:36 UTC,1
Sat 03:45 UTC,1
Sat 03:48 UTC,2
Sat 03:49 UTC,1
Sat 03:59 UTC,1
Sat 04:00 UTC,1
Sat 04:11 UTC,1
Sat 04:12 UTC,1
Sat 04:13 UTC,2
Sat 04:14 UTC,1
Sat 04:20 UTC,1
Sat 04:30 UTC,1
Sat 04:33 UTC,1
Sat 04:39 UTC,1
Sat 04:41 UTC,1
Sat 04:50 UTC,1
Sat 04:59 UTC,1
Sat 05:00 UTC,3
Sat 05:03 UTC,1
Sat 05:05 UTC,1
Sat 05:06 UTC,1
Sat 05:09 UTC,1
Sat 05:12 UTC,1
Sat 05:15 UTC,1
